[ Valid | 001/200 ] loss = 1.88062, acc = 0.39844 -> best
[ Valid | 002/200 ] loss = 2.81315, acc = 0.27556
[ Valid | 003/200 ] loss = 1.83433, acc = 0.40492 -> best
[ Valid | 004/200 ] loss = 1.57228, acc = 0.49562 -> best
[ Valid | 005/200 ] loss = 2.44001, acc = 0.29632
[ Valid | 006/200 ] loss = 1.67692, acc = 0.46969
[ Valid | 007/200 ] loss = 1.63130, acc = 0.49807 -> best
[ Valid | 008/200 ] loss = 1.86916, acc = 0.47260
[ Valid | 009/200 ] loss = 1.80530, acc = 0.48768
[ Valid | 010/200 ] loss = 2.15797, acc = 0.46711
[ Valid | 011/200 ] loss = 1.56244, acc = 0.52926 -> best
[ Valid | 012/200 ] loss = 1.97420, acc = 0.52356
[ Valid | 013/200 ] loss = 1.36047, acc = 0.57232 -> best
[ Valid | 014/200 ] loss = 1.26256, acc = 0.60254 -> best
[ Valid | 015/200 ] loss = 1.43149, acc = 0.58597
[ Valid | 016/200 ] loss = 2.88453, acc = 0.37113
[ Valid | 017/200 ] loss = 2.84235, acc = 0.46183
[ Valid | 018/200 ] loss = 1.92533, acc = 0.48459
[ Valid | 019/200 ] loss = 1.28332, acc = 0.62333 -> best
[ Valid | 020/200 ] loss = 1.53774, acc = 0.57906
[ Valid | 021/200 ] loss = 1.84043, acc = 0.51315
[ Valid | 022/200 ] loss = 1.21513, acc = 0.63639 -> best
[ Valid | 023/200 ] loss = 2.24364, acc = 0.46967
[ Valid | 024/200 ] loss = 1.38921, acc = 0.62273
[ Valid | 025/200 ] loss = 2.09273, acc = 0.51957
[ Valid | 026/200 ] loss = 1.39658, acc = 0.61894
[ Valid | 027/200 ] loss = 1.47893, acc = 0.61122
[ Valid | 028/200 ] loss = 1.53044, acc = 0.60033
[ Valid | 029/200 ] loss = 1.27931, acc = 0.64565 -> best
[ Valid | 030/200 ] loss = 1.81001, acc = 0.55485
[ Valid | 031/200 ] loss = 1.35991, acc = 0.64337
[ Valid | 032/200 ] loss = 1.31741, acc = 0.64785 -> best
[ Valid | 033/200 ] loss = 1.24611, acc = 0.66650 -> best
[ Valid | 034/200 ] loss = 1.10641, acc = 0.69373 -> best
[ Valid | 035/200 ] loss = 1.59081, acc = 0.63212
[ Valid | 036/200 ] loss = 1.43852, acc = 0.64276
[ Valid | 037/200 ] loss = 1.54368, acc = 0.63697
[ Valid | 038/200 ] loss = 1.30517, acc = 0.67015
[ Valid | 039/200 ] loss = 1.82807, acc = 0.58315
[ Valid | 040/200 ] loss = 1.22167, acc = 0.70219 -> best
[ Valid | 041/200 ] loss = 1.76343, acc = 0.60420
[ Valid | 042/200 ] loss = 1.34056, acc = 0.66890
[ Valid | 043/200 ] loss = 1.32504, acc = 0.67697
[ Valid | 044/200 ] loss = 1.51260, acc = 0.64990
[ Valid | 045/200 ] loss = 1.58899, acc = 0.63704
